AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
-45.0,-50.0,-46.57694625854492,-50.0,0,0,1.1768011007402357,1.9793914321064117
-47.0,-43.0,-47.0,-44.261558532714844,0,0,1.1768011007402357,1.9793914321064117
-50.0,-41.0,-50.0,-43.838504791259766,0,0,1.1768011007402357,1.9793914321064117
-41.0,-55.0,-45.41545486450195,-55.0,0,0,1.1768011007402357,1.9793914321064117
-50.0,-27.0,-50.0,-34.25395965576172,0,0,1.1768011007402357,1.9793914321064117
-48.0,-37.0,-48.0,-40.46928405761719,0,0,1.1768011007402357,1.9793914321064117
-42.0,-48.0,-43.892337799072266,-48.0,0,0,1.1768011007402357,1.9793914321064117
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.1768011007402357,1.9793914321064117
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.1768011007402357,1.9793914321064117
-48.0,-44.0,-48.0,-45.261558532714844,0,0,1.1768011007402357,1.9793914321064117
-36.0,-44.0,-38.52311706542969,-44.0,0,0,1.1768011007402357,1.9793914321064117
-29.0,-49.0,-35.30779266357422,-49.0,0,0,1.1768011007402357,1.9793914321064117
-38.0,-48.0,-41.15389633178711,-48.0,0,0,1.1768011007402357,1.9793914321064117
-36.0,-39.0,-36.9461669921875,-39.0,0,0,1.1768011007402357,1.9793914321064117
-37.0,-28.0,-37.0,-30.8385066986084,0,0,1.1768011007402357,1.9793914321064117
-43.0,-44.0,-43.31538772583008,-44.0,0,0,1.1768011007402357,1.9793914321064117
-46.0,-46.0,-46.0,-46.0,0,0,1.1768011007402357,1.9793914321064117
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.1768011007402357,1.9793914321064117
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.1768011007402357,1.9793914321064117
-41.0,-27.0,-41.0,-31.415454864501953,0,0,1.1768011007402357,1.9793914321064117
-40.0,-42.0,-40.63077926635742,-42.0,0,0,1.1768011007402357,1.9793914321064117
-51.0,-45.0,-51.0,-46.892337799072266,0,0,1.1768011007402357,1.9793914321064117
-42.0,-48.0,-43.892337799072266,-48.0,0,0,1.1768011007402357,1.9793914321064117
-45.0,-40.0,-45.0,-41.57694625854492,0,0,1.1768011007402357,1.9793914321064117
-56.0,-31.0,-56.0,-38.88473892211914,0,0,1.1768011007402357,1.9793914321064117
-47.0,-43.0,-47.0,-44.261558532714844,0,0,1.1768011007402357,1.9793914321064117
-45.0,-46.0,-45.31538772583008,-46.0,0,0,1.1768011007402357,1.9793914321064117
-44.0,-27.0,-44.0,-32.36162185668945,0,0,1.1768011007402357,1.9793914321064117
-44.0,-27.0,-44.0,-32.36162185668945,0,0,1.1768011007402357,1.9793914321064117
-65.0,-48.0,-65.0,-53.36162185668945,0,0,1.1768011007402357,1.9793914321064117
-46.0,-38.0,-46.0,-40.52311706542969,0,0,1.1768011007402357,1.9793914321064117
-42.0,-55.0,-46.10006332397461,-55.0,2,5,1.1768011007402357,1.9793914321064117
-50.0,-22.0,-50.0,-30.830907821655273,0,0,1.2284097813035812,1.9948251791828775
-42.0,-22.0,-42.0,-28.307790756225586,0,0,1.2284097813035812,1.9948251791828775
-43.0,-39.0,-43.0,-40.261558532714844,0,0,1.2284097813035812,1.9948251791828775
-38.0,-48.0,-41.15389633178711,-48.0,0,0,1.2284097813035812,1.9948251791828775
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.2284097813035812,1.9948251791828775
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.2284097813035812,1.9948251791828775
-43.0,-37.0,-43.0,-38.892337799072266,0,0,1.2284097813035812,1.9948251791828775
-48.0,-46.0,-48.0,-46.63077926635742,0,0,1.2284097813035812,1.9948251791828775
-47.0,-43.0,-47.0,-44.261558532714844,0,0,1.2284097813035812,1.9948251791828775
-27.0,-48.0,-33.6231803894043,-48.0,0,0,1.2284097813035812,1.9948251791828775
-41.0,-55.0,-45.41545486450195,-55.0,0,0,1.2284097813035812,1.9948251791828775
-51.0,-45.0,-51.0,-46.892337799072266,0,0,1.2284097813035812,1.9948251791828775
-43.0,-57.0,-47.41545486450195,-57.0,0,0,1.2284097813035812,1.9948251791828775
-40.0,-41.0,-40.31538772583008,-41.0,0,0,1.2284097813035812,1.9948251791828775
-47.0,-43.0,-47.0,-44.261558532714844,0,0,1.2284097813035812,1.9948251791828775
-47.0,-43.0,-47.0,-44.261558532714844,0,0,1.2284097813035812,1.9948251791828775
-43.0,-44.0,-43.31538772583008,-44.0,0,0,1.2284097813035812,1.9948251791828775
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.2284097813035812,1.9948251791828775
-56.0,-31.0,-56.0,-38.88473892211914,0,0,1.2284097813035812,1.9948251791828775
-42.0,-55.0,-46.10006332397461,-55.0,0,0,1.2284097813035812,1.9948251791828775
-33.0,-45.0,-36.78467559814453,-45.0,0,0,1.2284097813035812,1.9948251791828775
-37.0,-28.0,-37.0,-30.34372329711914,0,0,1.2284097813035812,1.9948251791828775
-48.0,-37.0,-48.0,-40.46928405761719,0,0,1.2284097813035812,1.9948251791828775
-45.0,-40.0,-45.0,-41.57694625854492,0,0,1.2284097813035812,1.9948251791828775
-45.0,-50.0,-46.57694625854492,-50.0,0,0,1.2284097813035812,1.9948251791828775
-45.0,-40.0,-45.0,-41.57694625854492,0,0,1.2284097813035812,1.9948251791828775
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.2284097813035812,1.9948251791828775
-44.0,-27.0,-44.0,-32.36162185668945,0,0,1.2284097813035812,1.9948251791828775
-43.0,-57.0,-47.41545486450195,-57.0,0,0,1.2284097813035812,1.9948251791828775
-49.0,-43.0,-49.0,-44.892337799072266,0,0,1.2284097813035812,1.9948251791828775
-56.0,-31.0,-56.0,-38.88473892211914,0,0,1.2284097813035812,1.9948251791828775
-36.0,-44.0,-38.52311706542969,-44.0,2,5,1.2284097813035812,1.9948251791828775
-47.0,-43.0,-47.0,-44.261558532714844,0,0,2.017266613493128,2.248074417378952
-43.0,-37.0,-43.0,-38.892337799072266,0,0,2.017266613493128,2.248074417378952
-45.0,-40.0,-45.0,-41.57694625854492,0,0,2.017266613493128,2.248074417378952
-45.0,-47.0,-45.63077926635742,-47.0,0,0,2.017266613493128,2.248074417378952
-43.0,-45.0,-43.63077926635742,-45.0,0,0,2.017266613493128,2.248074417378952
-45.0,-50.0,-46.57694625854492,-50.0,0,0,2.017266613493128,2.248074417378952
-36.0,-39.0,-36.9461669921875,-39.0,0,0,2.017266613493128,2.248074417378952
-43.0,-37.0,-43.0,-38.892337799072266,0,0,2.017266613493128,2.248074417378952
-43.0,-44.0,-43.31538772583008,-44.0,0,0,2.017266613493128,2.248074417378952
-56.0,-31.0,-56.0,-38.88473892211914,0,0,2.017266613493128,2.248074417378952
-56.0,-31.0,-56.0,-38.88473892211914,0,0,2.017266613493128,2.248074417378952
-45.0,-40.0,-45.0,-41.57694625854492,0,0,2.017266613493128,2.248074417378952
-47.0,-37.0,-47.0,-40.15389633178711,0,0,2.017266613493128,2.248074417378952
-43.0,-57.0,-47.41545486450195,-57.0,0,0,2.017266613493128,2.248074417378952
-43.0,-40.0,-43.0,-40.9461669921875,0,0,2.017266613493128,2.248074417378952
-29.0,-49.0,-35.30779266357422,-49.0,0,0,2.017266613493128,2.248074417378952
-45.0,-40.0,-45.0,-41.57694625854492,0,0,2.017266613493128,2.248074417378952
-45.0,-50.0,-46.57694625854492,-50.0,0,0,2.017266613493128,2.248074417378952
-45.0,-47.0,-45.63077926635742,-47.0,0,0,2.017266613493128,2.248074417378952
-48.0,-37.0,-48.0,-40.46928405761719,0,0,2.017266613493128,2.248074417378952
-51.0,-45.0,-51.0,-46.892337799072266,0,0,2.017266613493128,2.248074417378952
-45.0,-46.0,-45.31538772583008,-46.0,0,0,2.017266613493128,2.248074417378952
-44.0,-47.0,-44.9461669921875,-47.0,0,0,2.017266613493128,2.248074417378952
-43.0,-39.0,-43.0,-40.261558532714844,0,0,2.017266613493128,2.248074417378952
-43.0,-45.0,-43.63077926635742,-45.0,0,0,2.017266613493128,2.248074417378952
-50.0,-38.0,-50.0,-41.78467559814453,0,0,2.017266613493128,2.248074417378952
-48.0,-47.0,-48.0,-47.31538772583008,0,0,2.017266613493128,2.248074417378952
-43.0,-57.0,-47.41545486450195,-57.0,0,0,2.017266613493128,2.248074417378952
-43.0,-39.0,-43.0,-40.261558532714844,0,0,2.017266613493128,2.248074417378952
-45.0,-47.0,-45.63077926635742,-47.0,0,0,2.017266613493128,2.248074417378952
-45.0,-40.0,-45.0,-41.57694625854492,0,0,2.017266613493128,2.248074417378952
-56.0,-31.0,-56.0,-38.88473892211914,9,6,2.017266613493128,2.248074417378952
-43.0,-39.0,-43.0,-40.261558532714844,0,0,1.5591888249932822,2.392273519782857
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.5591888249932822,2.392273519782857
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.5591888249932822,2.392273519782857
-63.0,-39.0,-63.0,-46.56935119628906,0,0,1.5591888249932822,2.392273519782857
-46.0,-38.0,-46.0,-40.52311706542969,0,0,1.5591888249932822,2.392273519782857
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.5591888249932822,2.392273519782857
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.5591888249932822,2.392273519782857
-43.0,-39.0,-43.0,-40.261558532714844,0,0,1.5591888249932822,2.392273519782857
-48.0,-50.0,-48.63077926635742,-50.0,0,0,1.5591888249932822,2.392273519782857
-46.0,-38.0,-46.0,-40.52311706542969,0,0,1.5591888249932822,2.392273519782857
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.5591888249932822,2.392273519782857
-82.0,-42.0,-82.0,-54.61558151245117,0,0,1.5591888249932822,2.392273519782857
-45.0,-47.0,-45.63077926635742,-47.0,0,0,1.5591888249932822,2.392273519782857
-43.0,-37.0,-43.0,-38.892337799072266,0,0,1.5591888249932822,2.392273519782857
-48.0,-46.0,-48.0,-46.63077926635742,0,0,1.5591888249932822,2.392273519782857
-40.0,-41.0,-40.31538772583008,-41.0,0,0,1.5591888249932822,2.392273519782857
-45.0,-46.0,-45.31538772583008,-46.0,0,0,1.5591888249932822,2.392273519782857
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.5591888249932822,2.392273519782857
-45.0,-46.0,-45.31538772583008,-46.0,0,0,1.5591888249932822,2.392273519782857
-28.0,-48.0,-34.30779266357422,-48.0,0,0,1.5591888249932822,2.392273519782857
-32.0,-47.0,-36.73084259033203,-47.0,0,0,1.5591888249932822,2.392273519782857
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.5591888249932822,2.392273519782857
-48.0,-46.0,-48.0,-46.63077926635742,0,0,1.5591888249932822,2.392273519782857
-49.0,-55.0,-50.892337799072266,-55.0,0,0,1.5591888249932822,2.392273519782857
-42.0,-55.0,-46.10006332397461,-55.0,0,0,1.5591888249932822,2.392273519782857
-42.0,-48.0,-43.892337799072266,-48.0,0,0,1.5591888249932822,2.392273519782857
-44.0,-47.0,-44.9461669921875,-47.0,0,0,1.5591888249932822,2.392273519782857
-38.0,-48.0,-41.15389633178711,-48.0,0,0,1.5591888249932822,2.392273519782857
-50.0,-41.0,-50.0,-43.838504791259766,0,0,1.5591888249932822,2.392273519782857
-45.0,-40.0,-45.0,-41.57694625854492,0,0,1.5591888249932822,2.392273519782857
-51.0,-45.0,-51.0,-46.892337799072266,0,0,1.5591888249932822,2.392273519782857
-44.0,-47.0,-44.9461669921875,-47.0,5,4,1.5591888249932822,2.392273519782857
-43.0,-45.0,-43.63077926635742,-45.0,0,0,1.5293418269430235,2.232331390036767
-46.0,-52.0,-47.892337799072266,-52.0,0,0,1.5293418269430235,2.232331390036767
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.5293418269430235,2.232331390036767
-49.0,-43.0,-49.0,-44.892337799072266,0,0,1.5293418269430235,2.232331390036767
-50.0,-39.0,-50.0,-42.46928405761719,0,0,1.5293418269430235,2.232331390036767
-48.0,-44.0,-48.0,-45.261558532714844,0,0,1.5293418269430235,2.232331390036767
-51.0,-45.0,-51.0,-46.892337799072266,0,0,1.5293418269430235,2.232331390036767
-82.0,-42.0,-82.0,-54.61558151245117,0,0,1.5293418269430235,2.232331390036767
-40.0,-49.0,-42.838504791259766,-49.0,0,0,1.5293418269430235,2.232331390036767
-43.0,-44.0,-43.31538772583008,-44.0,0,0,1.5293418269430235,2.232331390036767
-43.0,-40.0,-43.0,-40.9461669921875,0,0,1.5293418269430235,2.232331390036767
-41.0,-27.0,-41.0,-31.415454864501953,0,0,1.5293418269430235,2.232331390036767
-41.0,-55.0,-45.41545486450195,-55.0,0,0,1.5293418269430235,2.232331390036767
-43.0,-45.0,-43.63077926635742,-45.0,0,0,1.5293418269430235,2.232331390036767
-45.0,-46.0,-45.31538772583008,-46.0,0,0,1.5293418269430235,2.232331390036767
-43.0,-57.0,-47.41545486450195,-57.0,0,0,1.5293418269430235,2.232331390036767
-49.0,-43.0,-49.0,-44.892337799072266,0,0,1.5293418269430235,2.232331390036767
-47.0,-37.0,-47.0,-40.15389633178711,0,0,1.5293418269430235,2.232331390036767
